configuration_name,aircraft_name,length,wingspan,seating_capacity,range,maximum_cruising_altitude,economy_class_has_wi-fi,economy_class_has_usb_port,economy_class_has_ski-fi,economy_class_has_power_outlet,economy_class_has_personal_screen,economy_class_has_overhead_screen,economy_class_has_ife_streaming,economy_class_seats,economy_class_seat_width,economy_class_seat_pitch,economy_class_abreast,cruising_speed,business_class_has_wi-fi,business_class_has_usb_port,business_class_has_ski-fi,business_class_has_power_outlet,business_class_has_personal_screen,business_class_has_ife_streaming,business_class_seats,business_class_seat_width,business_class_seat_pitch,business_class_abreast
AIRBUS A320CEO - (32N),Airbus A320-214,123 ft (37.57 m),117 ft (35.80 m),"12 Business Class, 132 Guest Class","3,300 nautical miles (6,100 km)","39,100-41,000 ft (11.900-12.500 m)",True,True,True,True,False,True,True,132,16.3 in - 18 in,30 in - 31 in,3-3,"447 knots (511 mph, 828 km/h)",True,True,True,True,True,True,12,21 in,45 in,2-2
AIRBUS A320-214 (STANDARD CONFIGURATION) – (320),Airbus A320-214,123 ft (37.57 m),112 ft (34.10 m),"12 Business Class, 120 Guest Class","3.200 nautical miles (5,900 km)","36,100 ft (11,000 m)",False,False,False,False,False,True,False,120,17.17 in -18.33 in,32 in -33 in,3-3,"447 knots (511 mph, 828 km/h)",False,True,False,True,True,False,12,21 in,45 in,2-2
AIRBUS A320-214 (BUSINESS CONFIGURATION) – (32E),Airbus A320-214,123 ft (37.57 m),112 ft (34.10 m),"20 Business Class, 96 Guest Class","3,200 nautical miles (5,900 km)","36,100 ft (11,000 m)",False,False,True,False,False,True,False,96,17.17 in - 18.33 in,32 in,3-3,"447 knots (511 mph, 828 km/h)",False,True,True,True,True,False,20,21 in,54 in,2-2
AIRBUS A320CEO - (RETROFIT CONFIGURATION) – (32U),Airbus A320-214,123 ft (37.57 m),112 ft (34.10 m),"20 Business Class, 90 Guest Class","3,200 nautical miles (5,900 km)","36,100 ft (11.000 m)",True,True,False,True,True,False,True,90,16.3 in - 18 in,31 in,3-3,"447 knots (511 mph, 828 km/h)",True,True,False,True,True,True,20,20 in,63 in,2-2
