configuration_name,aircraft_name,length,wingspan,seating_capacity,range,maximum_cruising_altitude,first_class_has_wi_fi,first_class_has_usb_port,first_class_has_prayer_area,first_class_has_power_outlet,first_class_has_personal_screen,first_class_has_ife_streaming,first_class_seats,first_class_seat_width,first_class_seat_pitch,first_class_abreast,economy_class_has_wi_fi,economy_class_has_usb_port,economy_class_has_prayer_area,economy_class_has_power_outlet,economy_class_has_personal_screen,economy_class_has_overhead_screen,economy_class_has_ife_streaming,economy_class_seats,economy_class_seat_width,economy_class_seat_pitch,economy_class_abreast,cruising_speed,business_class_has_wi_fi,business_class_has_usb_port,business_class_has_prayer_area,business_class_has_power_outlet,business_class_has_personal_screen,business_class_has_ife_streaming,business_class_seats,business_class_seat_width,business_class_seat_pitch,business_class_abreast
"BOEING B777-268ER (77L - BUSINESS ""SLEEPER"" CONFIGURATION)",Boeing B777-268ER,209 ft (63.73 m),200 ft (60.94 m),"24 First Class, 38 Business Class, 170 Guest Class","5,240 nautical miles (9,700 km)","43,100 ft (13,100 m)",True,True,True,True,True,True,24,,,No,True,True,True,True,False,True,True,170,16.5 in - 18 in,32 in,2-3-2,"490 knots (563 mph, 905 km/h)",True,True,True,True,True,True,38,19.5 in,58 in,3-4-3
BOEING B777-268ER (772 - HIGH DENSITY),Boeing B777-268ER,209 ft (63.73 m),200 ft (60.94 m),"14 Business Class, 327 Guest Class","5,240 nautical miles (9,700 km)","43,100 ft (13,100 m)",False,False,False,False,False,False,class not offered,class not offered,class not offered,class not offered,False,True,True,False,True,False,False,327,16.5 in - 18 in,32 in,2-3-2,"490 knots (563 mph, 871 km/h)",False,True,True,True,True,False,14,19.5 in,58 in,3-4-3
