configuration_name,aircraft_name,length,wingspan,seating_capacity,range,maximum_cruising_altitude,economy_class_has_wi_fi,economy_class_has_usb_port,economy_class_has_ski_fi,economy_class_has_prayer_area,economy_class_has_power_outlet,economy_class_has_personal_screen,economy_class_has_overhead_screen,economy_class_has_ife_streaming,economy_class_seats,economy_class_seat_width,economy_class_seat_pitch,economy_class_abreast,cruising_speed,business_class_has_wi_fi,business_class_has_usb_port,business_class_has_ski_fi,business_class_has_prayer_area,business_class_has_power_outlet,business_class_has_personal_screen,business_class_has_ife_streaming,business_class_seats,business_class_seat_width,business_class_seat_pitch,business_class_abreast
A330-343 (333),Airbus A330-343,209 ft (63.73 m),198 ft (60.30 m),"36 Business Class, 262 Guest Class","5,850 nautical miles (10,830 km)","36,100 ft (11,000 m)",True,False,False,True,False,False,True,True,262,16.9 in - 17.29 in,32 in,2-4-2,"470 knots (537 mph, 871 km/h)",True,True,False,True,True,True,True,36,18.77 in,54 in,2-2-2
A330-343 (33D),Airbus A330-343,209 ft (63.73 m),198 ft (60.30 m),"36 Business Class, 252 Guest Class","5,850 nautical miles (10,830 km)","36,100 ft (11,000 m)",True,False,True,True,False,False,True,True,252,16.9 in - 17.29 in,32 in,2-4-2,"470 knots (537 mph, 871 km/h)",True,True,False,True,True,True,True,36,18.77 in,61 in,2-2-2
A330-343 (33R),Airbus A330-343,209 ft (63.73 m),198 ft (60.30 m),"30 Business Class, 300 Guest Class","5,850 nautical miles (10,830 km)","36,100 ft (11,000 m)",True,True,True,False,True,True,False,True,300,16.9 in - 17.29 in,32 in,2-4-2,"470 knots (537 mph, 871 km/h)",True,True,True,False,True,True,True,30,18.77 in,60 in,2-2-2
